SOURCE	TARGET
أكثر	أكثر	UC
من	من	UC
التخصص	تخصص	REPLACE_XF
	.	INSERT_PM
الحمد	الحمد	UC
لله	لله	UC
الذي	الذي	UC
وفقني	وفقني	UC
لدراسة	لدراسة	UC
شرعية	الشرعية	REPLACE_XF
في	في	UC
جامعة	جامعة	UC
الإمام	الإمام	UC
محمد	محمد	UC
بن	بن	UC
سعود	سعود	UC
الإسلامية	الإسلامية	UC
	،	INSERT_PM
فأنا	فأنا	UC
الآن	الآن	UC
أدرس	أدرس	UC
في	في	UC
المستوى	المستوى	UC
الثاني	الثاني	UC
من	من	UC
قسم	قسم	UC
اللغة	اللغة	UC
العربية	العربية	UC
والعلوم	والعلوم	UC
الإسلامية	الإسلامية	UC
	،	INSERT_PM
وأريد	وأريد	UC
الالتحاق	الالتحاق	UC
بكلية	بكلية	UC
الشريعة	الشريعة	UC
	-	INSERT_PM
إن	إن	UC
شاء	شاء	UC
الله	الله	UC
	-	INSERT_PM
.	.	UC
واختيار	واختيار	UC
الناس	الناس	UC
لهذه	لهذه	UC
الكلية	الكلية	UC
قد	قد	UC
تختلف	يختلف	REPLACE_MI
من	من	UC
شخص	شخص	UC
إلى	إلى	UC
آخر	آخر	UC
.	،	REPLACE_PC
قد	قد	UC
يختار	يختارها	REPLACE_XM
البعض	البعض	UC
من	من	UC
أجل	أجل	UC
وظيفة	وظيفة	UC
يحصل	يحصل	UC
عليها	عليها	UC
بعد	بعد	UC
انتهاء	انتهائه	REPLACE_XM
	من	INSERT_XM
الكلية	الكلية	UC
	،	INSERT_PM
والبعض	والبعض	UC
الآخر	الآخر	UC
يختار	يختار	UC
هذه	هذه	UC
الكلية	الكلية	UC
	؛	INSERT_PM
لأن	لأن	UC
والديه	والديه	UC
يريدان	يريدان	UC
ذلك	ذلك	UC
	،	INSERT_PM
والآخر	والآخر	UC
يختار	يختارها	REPLACE_XM
لحفظ	لحفظ	UC
دين	دين	UC
الله	الله	UC
وشريعته	وشريعته	UC
.	،	REPLACE_PC
فأرجو	فأرجو	UC
أن	أن	UC
يوفقنا	يوفقنا	UC
	الله	INSERT_XM
لأفضل	لأفضل	UC
الاختيار	اختيار	REPLACE_XF
و	،	REPLACE_PM+REPLACE_XT
وإخلاص	وإخلاص	UC
النية	النية	UC
له	له	UC
	،	INSERT_PM
والعمل	وللعمل	REPLACE_XM
الصالح	الصالح	UC
.	.	UC
وأختار	واخترت	REPLACE_MT
هذه	هذه	UC
الكلية	الكلية	UC
كي	كي	UC
أتعلم	أتعلم	UC
ديني	ديني	UC
الذي	الذي	UC
هو	هو	UC
لحمي	لحمي	UC
ودمي	ودمي	UC
.	.	UC
والعلم	وهذا العلم	REPLACE_X
معروف	معروف	UC
شأنه	شأنه	UC
في	في	UC
كتاب	كتاب	UC
الله	الله	UC
وسنة	وسنة	UC
رسوله	رسوله	UC
	-	INSERT_PM
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
.	-	REPLACE_PC
	؛	INSERT_PM
لأن	لأن	UC
	هذا	INSERT_XM
العلم	العلم	UC
يهدي	يهدي	UC
الإنسان	الإنسان	UC
إلى	إلى	UC
الخير	الخير	UC
	،	INSERT_PM
والتقوى	والتقوى	UC
	،	INSERT_PM
والعمل	والعمل	UC
الصالح	الصالح	UC
.	،	REPLACE_PC
وبهذا	وبهذا	UC
العلم	العلم	UC
أريد	أريد	UC
رفع	رفع	UC
الجهل	الجهل	UC
عن	عن	UC
نفسي	نفسي	UC
وعن	وعن	UC
غيري	غيري	UC
	،	INSERT_PM
وأكون	وأكون	UC
كالرعيل	كالرعيل	UC
الأول	الأول	UC
من	من	UC
الصحابة	الصحابة	UC
والتابعين	والتابعين	UC
.	؛	REPLACE_PC
لأن	لأنهم	REPLACE_MI
بالعلم	بالعلم	UC
الشرعي	الشرعي	UC
والعمل	والعمل	UC
الصالح	الصالح	UC
الناتج	الناتج	UC
عنه	عنه	UC
كانوا	كانوا	UC
صالحين	صالحين	UC
في	مع	REPLACE_SW
أنفسهم	أنفسهم	UC
ومصلحين	ومصلحين	UC
لغيرهم	لغيرهم	UC
.	،	REPLACE_PC
فهم	فهم	UC
قدوة	قدوة	UC
لنا	لنا	UC
.	؛	REPLACE_PC
ولذلك	ولذلك	UC
تعلم	تعلم	UC
الشريعة	الشريعة	UC
ليس	ليس	UC
تخصصا	تخصصا	UC
فقط	فقط	UC
بل	بل	UC
هو	هو	UC
أكثر	أكثر	UC
من	من	UC
ذلك	ذلك	UC
	؛	INSERT_PM
لأنه	لأنه	UC
متعلق	متعلق	UC
بدين	بدين	UC
المسلم	المسلم	UC
وسلوكه	وسلوكه	UC
في	في	UC
هذه	هذه	UC
الحياة	الحياة	UC
	،	INSERT_PM
وسفينة	وهو سفينة	REPLACE_X
نجاته	نجاته	UC
.	.	UC

رحلة	رحلة	UC
إلى	إلى	UC
أبها	أبها	UC
	.	INSERT_PM
قمنا	قمنا	UC
برحلة	برحلة	UC
إلى	إلى	UC
أبها	أبها	UC
،	،	UC
كنا	وكنا	REPLACE_MI
تسعة	تسعة	UC
أشخاص	أشخاص	UC
،	.	REPLACE_PC
كان	كان	UC
موعد	موعد	UC
تجمعنا	تجمعنا	UC
في	في	UC
ملعلب	ملعب	REPLACE_OD
إسكان	إسكان	UC
الطلاب	الطلاب	UC
الساعة	الساعة	UC
9	9	UC
:	:	UC
15	15	UC
،	.	REPLACE_PC
وبعد	وبعد	UC
ذلك	ذلك	UC
انطلقنا	انطلقنا	UC
إلى	إلى	UC
المطار	مطار	REPLACE_XF
الملك	الملك	UC
خالد	خالد	UC
بالرياض	بالرياض	UC
،	.	REPLACE_PC
عند	عند	UC
وصولنا	وصولنا	UC
في	إلى	REPLACE_SW
المطار	المطار	UC
،	،	UC
ركبنا	ركبنا	UC
بطائر	الطائرة	REPLACE_SW
إلى	إلى	UC
أبها	أبها	UC
،	.	REPLACE_PC
لما	ولما	REPLACE_MI
وصلنا	وصلنا	UC
في	إلى	REPLACE_SW
أبها	أبها	UC
	،	INSERT_PM
جاء	جاء	UC
رجلان	رجلان	UC
للاستقبالنا	لاستقبالنا	REPLACE_OD
،	،	UC
ثم	ثم	UC
بعد	بعد	UC
السلام	السلام	UC
	،	INSERT_PM
نقلوانا	نقلوننا	REPLACE_OR
بحافلة	بالحافلة	REPLACE_XF
	.	INSERT_PM
في	في	UC
طريق	الطريق	REPLACE_XF
إلى	إلى	UC
الفندق	الفندق	UC
	،	INSERT_PM
	كانت	INSERT_XM
أبها	أبها	UC
فيها	فيها	UC
مناظر	مناظرا	REPLACE_XC
جميلة	جميلة	UC
،	،	UC
شهادة	شاهدت	REPLACE_SW
القرون	القرون	UC
في	في	UC
طريق	الطريق	REPLACE_XF
والجبال	والجبال	UC
،	،	UC
وذهبنا	وذهبنا	UC
لذيارت	لزيارة	REPLACE_OR+REPLACE_OT
جامعة	جامعة	UC
الملك	الملك	UC
حالد	خالد	REPLACE_OR
.	.	UC
الجامعة	الجامعة	UC
	-	INSERT_PM
مشاء	ما شاء	UNK
الله	الله	UC
	-	INSERT_PM
جميل	جميلة	REPLACE_XG
جدا	جدا	UC
،	.	REPLACE_PC
أشكر	أشكر	UC
عمادة	العمداء	REPLACE_SW
بقيام	لقيامهم	REPLACE_MI
هذه	بهذه	REPLACE_XM
رحلة	الرحلة	REPLACE_XF
.	،	REPLACE_PC
جزاهم	جزاهم	UC
الله	الله	UC
خيرا	خيرا	UC
.	.	UC

دراستي	دراستي	UC
	في	INSERT_XM
كلية	كلية	UC
أصول	أصول	UC
الدين	الدين	UC
	.	INSERT_PM
عندي	عندي	UC
رغبة	رغبة	UC
شديدة	شديدة	UC
في	في	UC
دراسة	دراسة	UC
أصول	أصول	UC
الدين	الدين	UC
	؛	INSERT_PM
لأن	لأن	UC
كمبوديا	كمبوديا	UC
هي	هي	UC
دولة	دولة	UC
بوذية	بوذية	UC
وبحاجة	وبحاجة	UC
ماسة	ماسة	UC
إلى	إلى	UC
علم	علم	UC
صحيح	صحيح	UC
في	مع	REPLACE_SW
عقيدة	عقيدة	UC
سلقية	سلفية	REPLACE_OR
	،	INSERT_PM
وأيضا	وأيضا	UC
في	في	UC
منطقتي	منطقتي	UC
أغلب	أغلب	UC
الشي	الناس	REPLACE_SW
	هم	INSERT_XM
أهل	أهل	UC
صوفيين	صوفية ،	REPLACE_PM+REPLACE_XG+REPLACE_XN
وأشاعرة	وأشاعرة	UC
	،	INSERT_PM
وأهل	وأهل	UC
خرفات	خرفات	UC
	،	INSERT_PM
هؤلاء	هؤلاء	UC
ينشرون	ينشرون	UC
عقيدقهم	عقيدتهم	REPLACE_OR
غير	الغير	REPLACE_XF
صحيحة	صحيحة	UC
إلى	إلى	UC
بعض	بعض	UC
المسلمين	المسلمين	UC
	،	INSERT_PM
وأريد	وأريد	UC
أن	أن	UC
أرشدهم	أرشدهم	UC
إلى	إلى	UC
عقيدة	عقيدة	UC
سليمة	سليمة	UC
	،	INSERT_PM
ولكنتي	ولكني	REPLACE_OD
لا	لا	UC
أستطيع	أستطيع	UC
أن	أن	UC
أفعل	أفعل	UC
بذلك	ذلك	REPLACE_XT
	؛	INSERT_PM
لأنني	لأنني	UC
مازلت	مازلت	UC
في	في	UC
معهد	معهد	UC
تعليم	تعليم	UC
اللغة	اللغة	UC
العربية	العربية	UC
.	؛	REPLACE_PC
ولذلك	ولذلك	UC
أرجو	أرجو	UC
أن	أن	UC
أدرس	أدرس	UC
في	في	UC
هذه	هذه	UC
الكلية	الكلية	UC
الجميلة	الجميلة	UC
بإذن	بإذن	UC
الله	الله	UC
تعالى	تعالى	UC
.	.	UC
	-	INSERT_PM
وصلى	وصلى	UC
الله	الله	UC
	-	INSERT_PM
على	على	UC
نبينا	نبينا	UC
محمد	محمد	UC
	،	INSERT_PM
وعلى	وعلى	UC
آله	آله	UC
	،	INSERT_PM
وصحبه	وصحبه	UC
أحمعين	أجمعين	REPLACE_OR
.	.	UC

أحلامي	أحلامي	UC
في	هي	REPLACE_OR
البنك	البنك	UC
الإسلامي	الإسلامي	UC
	.	INSERT_PM
أنني	إنني	REPLACE_OH
أفضل	أفضل	UC
كلية	كلية	UC
الاقتصاد	الاقتصاد	UC
(	(	UC
	على	INSERT_XM
	أن	INSERT_XM
	يكون	INSERT_XM
فيه	فيها	REPLACE_XG
البنك	بنكا	REPLACE_XF
الإسلامي	إسلاميا	REPLACE_XF
)	)	UC
.	؛	REPLACE_PC
لأنني	لأنني	UC
أريد	أريد	UC
	أن	INSERT_XM
	يرى	INSERT_XM
العالم	العالم	UC
أن		DELETE_XM
أنظر		DELETE_XM
عالما	عالما	UC
إسلاميا	إسلاميا	UC
في	في	UC
المستقبل	المستقبل	UC
.	.	UC
في	في	UC
الدعوة	الدعوة	UC
الإسلامية	الإسلامية	UC
	،	INSERT_PM
والشريعة	وفي الشريعة	REPLACE_X
	،	INSERT_PM
وفي	وفي	UC
أصول	أصول	UC
الدين	الدين	UC
قد	قد	UC
شارك	شارك	UC
كثير	كثير	UC
من	من	UC
الطلاب	الطلاب	UC
والعلماء	والعلماء	UC
.	،	REPLACE_PC
أنهم	إنهم	REPLACE_OH
يهتمون	يهتمون	UC
بنشر	بنشر	UC
الإسلام	الإسلام	UC
في	في	UC
احكامها	أحكامه ،	REPLACE_MI+REPLACE_OH+REPLACE_PM
وحل	وحل	UC
المشاكل	المشاكل	UC
بين	بين	UC
الناس	الناس	UC
باعتبار	باعتبار	UC
الإسلام	الإسلام	UC
.	.	UC
هناك	هناك	UC
يوجد	يوجد	UC
كثير	كثير	UC
من	من	UC
المراكز	المراكز	UC
الإسلام	الإسلامية	REPLACE_OM+REPLACE_XG
لنشر	لنشر	UC
الدعوة	الدعوة	UC
الإسلامية	الإسلامية	UC
للمسلمين	للمسلمين	UC
وغيرهم	وغيرهم	UC
.	،	REPLACE_PC
وهذا	وهذا	UC
مجال	مجال	UC
ممتلئ	متوفر	REPLACE_SW
ولا	ولا	UC
سيما	سيما	UC
في	في	UC
بلدنا	بلدنا	UC
سريلانكا	سريلانكا	UC
.	؛	REPLACE_PC
ولهذا	ولهذا	UC
الآن	الآن	UC
	،	INSERT_PM
نحتاج	يحتاج	REPLACE_OR
بلدي	بلدي	UC
إلى	إلى	UC
فن	فن	UC
مختلف	مختلف	UC
اسلامي	إسلامي	REPLACE_OH
.	،	REPLACE_PC
في	في	UC
الإقتصاد	الاقتصاد	REPLACE_OH
	،	INSERT_PM
والسياسي	والسياسة	REPLACE_OR
	،	INSERT_PM
والمهنة	والمهن ،	REPLACE_PM+REPLACE_XN
وغير	وغير	UC
ذلك	ذلك	UC
من	من	UC
الفنون	الفنون	UC
التي	التي	UC
لا	لا	UC
تعد	تعد	UC
ولا	ولا	UC
تحصى	تحصى	UC
.	؛	REPLACE_PC
ولهذا	ولهذا	UC
	أنا	INSERT_XM
اخترت	اخترت	UC
أنا		DELETE_XM
البنك	البنك	UC
الإسلامي	الإسلامي	UC
	لأنه	INSERT_XM
مناسبة	مناسب	REPLACE_XG
لبلدنا	لبلدنا	UC
.	،	REPLACE_PC
هناك	فهناك	REPLACE_SF
توجد	توجد	UC
كثيرا	كثير	REPLACE_XC
من	من	UC
البنك	البنوك	REPLACE_XN
.		DELETE_PM
فيها	فيها	UC
كثيرا	الكثير	REPLACE_XF
من	من	UC
الظلم	الظلم	UC
	،	INSERT_PM
والربى	والرباء	REPLACE_OH+REPLACE_OM
	،	INSERT_PM
والخيانة	وخداع	REPLACE_SW
للناس	للناس	UC
.	.	UC
أنا	أنا	UC
أتعلم	أتعلم	UC
	من	INSERT_XM
البنك	البنك	UC
الإسلامي	الإسلامي	UC
	،	INSERT_PM
وأشتغل	وأشتغل	UC
فيه	فيه	UC
دعوة	دعوة	UC
إلى	إلى	UC
الله	الله	UC
.	.	UC

الرحلة	رحلة	REPLACE_XF
إلى	إلى	UC
القرية	القرية	UC
لزيارة	لزيارة	UC
ذوي	ذوي	UC
القربى	القربى	UC
	.	INSERT_PM
اعتدت	اعتدت	UC
الذهاب	الذهاب	UC
إلى	إلى	UC
قريتي	قريتي	UC
في	في	UC
الإجازات	الإجازات	UC
الصيفية	الصيفية	UC
	،	INSERT_PM
الموجودة	الموجودة	UC
في	في	UC
غرب	غرب	UC
بلدي	بلدي	UC
المسمى	المسمى	UC
ببوركينا	ببوركينا	UC
فاسو	فاسو	UC
.	.	UC
تسمى	تسمى	UC
قريتي	قريتي	UC
ساغابتنفا	ساغابتنفا	UC
،	،	UC
قمت	قمت	UC
برحلة	برحلة	UC
إليها	إليها	UC
في	في	UC
الإجازة	الإجازة	UC
الصيفية	الصيفية	UC
الماضية	الماضية	UC
	،	INSERT_PM
وكانت	وكانت	UC
من	من	UC
أمتع	أمتع	UC
الرحلات	الرحلات	UC
اللتي	التي	REPLACE_OD
رحلت	رحت	REPLACE_OD
إليها	إليها	UC
وأفضلها	وأفضلها	UC
،	،	UC
فبعد	فبعد	UC
أن	أن	UC
قررت	قررت	UC
الرحيل	الرحيل	UC
إليها	إليها	UC
،	،	UC
اتصلت	اتصلت	UC
بمن	بمن	UC
فيها	فيها	UC
من	من	UC
سادة	سادة	UC
القوم	القوم	UC
وكبارهم	وكبارهم	UC
،	،	UC
فسرو	فسروا	REPLACE_XC
وفرحو ؛	وفرحوا	REPLACE_OW+REPLACE_PT
لما	لما	UC
سمعو	سمعوا	REPLACE_OW
مني	مني	UC
ما	ما	UC
يسر	يسر	UC
أفئدتهم	أفئدتهم	UC
	،	INSERT_PM
ولما	ولما	UC
طال	طال	UC
الالتقاء	من فراق	UNK
بيننا	بيننا	UC
لسبب	بسبب	REPLACE_MI
طلب	طلب	UC
العلم	العلم	UC
والسير	والسير	UC
في	في	UC
الأرض	الأرض	UC
لأجله	لأجله	UC
	،	INSERT_PM
فاازددت	فازددت	REPLACE_OD
همة	همة	UC
في	في	UC
المسير	المسير	UC
لما	لما	UC
سمعت	سمعته	REPLACE_XM
إقداما	وإقداما	REPLACE_MI
	،	INSERT_PM
وحبا	ولحب	REPLACE_XC+REPLACE_XM
لأهل	أهل	REPLACE_MI
القرية	القرية	UC
تجاهي	تجاهي	UC
	،	INSERT_PM
فخرجت	فخرجت	UC
	إلى	INSERT_XM
	طريقي	INSERT_XM
في	في	UC
طريقي		DELETE_XM
الخامس	الخامس	UC
عشرة	عشر	REPLACE_XG
من	من	UC
رمضان	رمضان	UC
متجها	متجها	UC
إلى	إلى	UC
القرية	القرية	UC
،	،	UC
فوصلت	فوصلت	UC
إليها	إليها	UC
في	في	UC
يومه	يومه	UC
،	،	UC
فأكرموني	فأكرموني	UC
وطبوخو	وطبخوا	REPLACE_OD+REPLACE_OH+REPLACE_OM
لي	لي	UC
طعاما	طعاما	UC
شهيا	شهيا	UC
طاقت	تاق	REPLACE_OR+REPLACE_XG
إليه	إليه	UC
قلبي	قلبي	UC
قبل	قبل	UC
ذوقي	تذوقي	REPLACE_OM
	له	INSERT_XM
	،	INSERT_PM
ثم	ثم	UC
قدموني	قدموني	UC
إماما	إماما	UC
،	,	REPLACE_PC
فصليت	فصليت	UC
بهم	بهم	UC
الظهر	الظهر	UC
وقلت	ونمت	REPLACE_OR
بعدها	بعدها	UC
.	،	REPLACE_PC
فلما	فلما	UC
استيقظت	استيقظت	UC
للعصر	العصر	REPLACE_XT
وصليت	وصليت	UC
	،	INSERT_PM
جاؤوني	جاؤوني	UC
سائلين	سائلين	UC
عن	عن	UC
أهل	أهل	UC
المدينة	المدينة	UC
ومن	ومن	UC
تركتهم	تركتهم	UC
في	في	UC
